Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"5-9 years"|"Female"|"2018"|3180|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"5-9 years"|"Male"|"2018"|2100|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"5-9 years"|"Female"|"2018"|2028|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3774|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3462|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"5-9 years"|"Male"|"2018"|1395|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"5-9 years"|"Female"|"2018"|1383|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"5-9 years"|"Male"|"2018"|258|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"5-9 years"|"Female"|"2018"|273|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"5-9 years"|"Male"|"2018"|77049|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"5-9 years"|"Female"|"2018"|72957|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"5-9 years"|"Male"|"2018"|15081|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"5-9 years"|"Female"|"2018"|14049|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"5-9 years"|"Male"|"2018"|11664|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"5-9 years"|"Female"|"2018"|10920|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"5-9 years"|"Male"|"2018"|19680|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"5-9 years"|"Female"|"2018"|18555|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Male"|"2018"|1836|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Female"|"2018"|1728|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"5-9 years"|"Male"|"2018"|1530|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"5-9 years"|"Female"|"2018"|1365|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"5-9 years"|"Male"|"2018"|21381|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"5-9 years"|"Female"|"2018"|20481|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"5-9 years"|"Male"|"2018"|3324|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"5-9 years"|"Female"|"2018"|2976|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3552|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3501|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"5-9 years"|"Male"|"2018"|3153|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"5-9 years"|"Female"|"2018"|3180|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"5-9 years"|"Male"|"2018"|2100|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"5-9 years"|"Female"|"2018"|2028|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3774|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3462|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"5-9 years"|"Male"|"2018"|1395|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"5-9 years"|"Female"|"2018"|1383|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"5-9 years"|"Male"|"2018"|258|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"5-9 years"|"Female"|"2018"|273|
"Total - New Zealand by District Health Board"|"European only"|"5-9 years"|"Male"|"2018"|77049|
"Total - New Zealand by District Health Board"|"European only"|"5-9 years"|"Female"|"2018"|72957|
"Total - New Zealand by District Health Board"|"Maori only"|"5-9 years"|"Male"|"2018"|15081|
"Total - New Zealand by District Health Board"|"Maori only"|"5-9 years"|"Female"|"2018"|14049|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"5-9 years"|"Male"|"2018"|11664|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"5-9 years"|"Female"|"2018"|10920|
"Total - New Zealand by District Health Board"|"Asian only"|"5-9 years"|"Male"|"2018"|19680|
"Total - New Zealand by District Health Board"|"Asian only"|"5-9 years"|"Female"|"2018"|18555|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Male"|"2018"|1836|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Female"|"2018"|1728|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"5-9 years"|"Male"|"2018"|1530|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"5-9 years"|"Female"|"2018"|1365|
"Total - New Zealand by District Health Board"|"Maori/European"|"5-9 years"|"Male"|"2018"|21381|
"Total - New Zealand by District Health Board"|"Maori/European"|"5-9 years"|"Female"|"2018"|20481|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"5-9 years"|"Male"|"2018"|3324|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"5-9 years"|"Female"|"2018"|2976|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3552|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3501|
"Total - New Zealand by District Health Board"|"Asian/European"|"5-9 years"|"Male"|"2018"|3153|
"Total - New Zealand by District Health Board"|"Asian/European"|"5-9 years"|"Female"|"2018"|3180|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"5-9 years"|"Male"|"2018"|2100|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"5-9 years"|"Female"|"2018"|2028|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3774|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3462|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"5-9 years"|"Male"|"2018"|1395|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"5-9 years"|"Female"|"2018"|1383|
"Total - New Zealand by District Health Board"|"Four to six groups"|"5-9 years"|"Male"|"2018"|258|
"Total - New Zealand by District Health Board"|"Four to six groups"|"5-9 years"|"Female"|"2018"|273|
"Total - New Zealand by Regional Council/SA2"|"European only"|"15-19 years"|"Male"|"2018"|78582|
"Total - New Zealand by Regional Council/SA2"|"European only"|"15-19 years"|"Female"|"2018"|74916|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"15-19 years"|"Male"|"2018"|14640|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"15-19 years"|"Female"|"2018"|13485|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"15-19 years"|"Male"|"2018"|11433|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"15-19 years"|"Female"|"2018"|11115|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"15-19 years"|"Male"|"2018"|19155|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"15-19 years"|"Female"|"2018"|18360|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Male"|"2018"|1785|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Female"|"2018"|1650|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"15-19 years"|"Male"|"2018"|1128|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"15-19 years"|"Female"|"2018"|966|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"15-19 years"|"Male"|"2018"|16371|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"15-19 years"|"Female"|"2018"|16200|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"15-19 years"|"Male"|"2018"|2220|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"15-19 years"|"Female"|"2018"|2139|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2787|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2808|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"15-19 years"|"Male"|"2018"|1821|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"15-19 years"|"Female"|"2018"|1776|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"15-19 years"|"Male"|"2018"|1260|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"15-19 years"|"Female"|"2018"|1191|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2049|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2088|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"15-19 years"|"Male"|"2018"|825|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"15-19 years"|"Female"|"2018"|777|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"15-19 years"|"Male"|"2018"|156|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"15-19 years"|"Female"|"2018"|141|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"15-19 years"|"Male"|"2018"|78582|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"15-19 years"|"Female"|"2018"|74916|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"15-19 years"|"Male"|"2018"|14640|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"15-19 years"|"Female"|"2018"|13485|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"15-19 years"|"Male"|"2018"|11433|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"15-19 years"|"Female"|"2018"|11115|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"15-19 years"|"Male"|"2018"|19155|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"15-19 years"|"Female"|"2018"|18360|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Male"|"2018"|1785|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Female"|"2018"|1650|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"15-19 years"|"Male"|"2018"|1128|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"15-19 years"|"Female"|"2018"|966|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"15-19 years"|"Male"|"2018"|16371|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"15-19 years"|"Female"|"2018"|16200|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"15-19 years"|"Male"|"2018"|2220|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"15-19 years"|"Female"|"2018"|2139|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2787|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2808|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"15-19 years"|"Male"|"2018"|1821|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"15-19 years"|"Female"|"2018"|1776|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"15-19 years"|"Male"|"2018"|1260|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"15-19 years"|"Female"|"2018"|1191|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2049|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2088|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"15-19 years"|"Male"|"2018"|825|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"15-19 years"|"Female"|"2018"|777|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"15-19 years"|"Male"|"2018"|156|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"15-19 years"|"Female"|"2018"|141|
"Total - New Zealand by District Health Board"|"European only"|"15-19 years"|"Male"|"2018"|78582|
"Total - New Zealand by District Health Board"|"European only"|"15-19 years"|"Female"|"2018"|74916|
"Total - New Zealand by District Health Board"|"Maori only"|"15-19 years"|"Male"|"2018"|14640|
"Total - New Zealand by District Health Board"|"Maori only"|"15-19 years"|"Female"|"2018"|13485|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"15-19 years"|"Male"|"2018"|11433|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"15-19 years"|"Female"|"2018"|11115|
"Total - New Zealand by District Health Board"|"Asian only"|"15-19 years"|"Male"|"2018"|19155|
"Total - New Zealand by District Health Board"|"Asian only"|"15-19 years"|"Female"|"2018"|18360|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Male"|"2018"|1785|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"15-19 years"|"Female"|"2018"|1650|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"15-19 years"|"Male"|"2018"|1128|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"15-19 years"|"Female"|"2018"|966|
"Total - New Zealand by District Health Board"|"Maori/European"|"15-19 years"|"Male"|"2018"|16371|
"Total - New Zealand by District Health Board"|"Maori/European"|"15-19 years"|"Female"|"2018"|16200|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"15-19 years"|"Male"|"2018"|2220|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"15-19 years"|"Female"|"2018"|2139|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2787|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2808|
"Total - New Zealand by District Health Board"|"Asian/European"|"15-19 years"|"Male"|"2018"|1821|
"Total - New Zealand by District Health Board"|"Asian/European"|"15-19 years"|"Female"|"2018"|1776|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"15-19 years"|"Male"|"2018"|1260|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"15-19 years"|"Female"|"2018"|1191|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"15-19 years"|"Male"|"2018"|2049|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"15-19 years"|"Female"|"2018"|2088|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"15-19 years"|"Male"|"2018"|825|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"15-19 years"|"Female"|"2018"|777|
"Total - New Zealand by District Health Board"|"Four to six groups"|"15-19 years"|"Male"|"2018"|156|
"Total - New Zealand by District Health Board"|"Four to six groups"|"15-19 years"|"Female"|"2018"|141|
"Total - New Zealand by Regional Council/SA2"|"European only"|"25-29 years"|"Male"|"2018"|84600|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Male"|"2018"|3456|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|1101|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"25-29 years"|"Male"|"2018"|72|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"25-29 years"|"Male"|"2018"|84600|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"25-29 years"|"Female"|"2018"|1332|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"25-29 years"|"Male"|"2018"|1059|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"25-29 years"|"Male"|"2018"|72|
"Total - New Zealand by District Health Board"|"Asian only"|"25-29 years"|"Female"|"2018"|37518|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"25-29 years"|"Male"|"2018"|1929|
"Total - New Zealand by District Health Board"|"Asian/European"|"25-29 years"|"Male"|"2018"|1059|
"Total - New Zealand by Regional Council/SA2"|"European only"|"35-39 years"|"Male"|"2018"|75894|
"Total - New Zealand by Regional Council/SA2"|"European only"|"35-39 years"|"Female"|"2018"|79935|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"35-39 years"|"Male"|"2018"|10488|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"35-39 years"|"Female"|"2018"|10023|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"35-39 years"|"Male"|"2018"|8193|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"35-39 years"|"Female"|"2018"|7785|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"35-39 years"|"Male"|"2018"|31995|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"35-39 years"|"Female"|"2018"|33060|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Male"|"2018"|3501|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Female"|"2018"|3333|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"35-39 years"|"Male"|"2018"|1896|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"35-39 years"|"Female"|"2018"|1281|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"35-39 years"|"Male"|"2018"|8643|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"35-39 years"|"Female"|"2018"|10647|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"35-39 years"|"Male"|"2018"|714|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"35-39 years"|"Female"|"2018"|768|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|1296|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|1482|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"35-39 years"|"Male"|"2018"|516|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"35-39 years"|"Female"|"2018"|660|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"35-39 years"|"Male"|"2018"|789|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"35-39 years"|"Female"|"2018"|870|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|444|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|540|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"35-39 years"|"Male"|"2018"|246|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"35-39 years"|"Female"|"2018"|309|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"35-39 years"|"Male"|"2018"|45|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"35-39 years"|"Female"|"2018"|45|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"35-39 years"|"Male"|"2018"|75894|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"35-39 years"|"Female"|"2018"|79935|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"35-39 years"|"Male"|"2018"|10488|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"35-39 years"|"Female"|"2018"|10023|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"35-39 years"|"Male"|"2018"|8193|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"35-39 years"|"Female"|"2018"|7785|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"35-39 years"|"Male"|"2018"|31995|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"35-39 years"|"Female"|"2018"|33060|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Male"|"2018"|3501|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Female"|"2018"|3333|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"35-39 years"|"Male"|"2018"|1896|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"35-39 years"|"Female"|"2018"|1281|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"35-39 years"|"Male"|"2018"|8643|
"Total - New Zealand by Regional Council/SA2"|"European only"|"20-24 years"|"Male"|"2018"|80793|
"Total - New Zealand by Regional Council/SA2"|"European only"|"20-24 years"|"Female"|"2018"|77181|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"20-24 years"|"Male"|"2018"|14121|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"20-24 years"|"Female"|"2018"|13077|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"20-24 years"|"Male"|"2018"|11289|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"20-24 years"|"Female"|"2018"|11352|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"20-24 years"|"Male"|"2018"|31674|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"20-24 years"|"Female"|"2018"|25578|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Male"|"2018"|2151|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Female"|"2018"|2055|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"20-24 years"|"Male"|"2018"|1338|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"20-24 years"|"Female"|"2018"|939|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"20-24 years"|"Male"|"2018"|13833|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"20-24 years"|"Female"|"2018"|14763|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"20-24 years"|"Male"|"2018"|1587|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"20-24 years"|"Female"|"2018"|1602|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|2379|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|2436|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"20-24 years"|"Male"|"2018"|1386|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"20-24 years"|"Female"|"2018"|1452|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"20-24 years"|"Male"|"2018"|1179|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"20-24 years"|"Female"|"2018"|1113|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|1404|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|1458|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"20-24 years"|"Male"|"2018"|495|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"20-24 years"|"Female"|"2018"|570|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"20-24 years"|"Male"|"2018"|102|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"20-24 years"|"Female"|"2018"|90|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"20-24 years"|"Male"|"2018"|80793|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"20-24 years"|"Female"|"2018"|77181|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"20-24 years"|"Male"|"2018"|14121|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"20-24 years"|"Female"|"2018"|13077|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"20-24 years"|"Male"|"2018"|11289|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"20-24 years"|"Female"|"2018"|11352|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"20-24 years"|"Male"|"2018"|31674|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"20-24 years"|"Female"|"2018"|25578|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Male"|"2018"|2151|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Female"|"2018"|2055|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"20-24 years"|"Male"|"2018"|1338|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"20-24 years"|"Female"|"2018"|939|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"20-24 years"|"Male"|"2018"|13833|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"20-24 years"|"Female"|"2018"|14763|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"35-39 years"|"Female"|"2018"|10647|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"35-39 years"|"Male"|"2018"|714|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"35-39 years"|"Female"|"2018"|768|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|1296|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|1482|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"35-39 years"|"Male"|"2018"|516|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"35-39 years"|"Female"|"2018"|660|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"35-39 years"|"Male"|"2018"|789|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"35-39 years"|"Female"|"2018"|870|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|444|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|540|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"35-39 years"|"Male"|"2018"|246|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"35-39 years"|"Female"|"2018"|309|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"35-39 years"|"Male"|"2018"|45|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"35-39 years"|"Female"|"2018"|45|
"Total - New Zealand by District Health Board"|"European only"|"35-39 years"|"Male"|"2018"|75894|
