Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Hauraki District"|"Object to answering"|"40-44 years"|"Male"|"2018"|24|
"Hauraki District"|"Object to answering"|"40-44 years"|"Female"|"2018"|39|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|300|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|357|
"Matamata-Piako District"|"No religion"|"40-44 years"|"Male"|"2018"|552|
"Matamata-Piako District"|"No religion"|"40-44 years"|"Female"|"2018"|540|
"Matamata-Piako District"|"Object to answering"|"40-44 years"|"Male"|"2018"|72|
"Matamata-Piako District"|"Object to answering"|"40-44 years"|"Female"|"2018"|75|
"Hamilton City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|2130|
"Hamilton City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|2430|
"Hamilton City"|"No religion"|"40-44 years"|"Male"|"2018"|2394|
"Hamilton City"|"No religion"|"40-44 years"|"Female"|"2018"|2307|
"Hamilton City"|"Object to answering"|"40-44 years"|"Male"|"2018"|255|
"Hamilton City"|"Object to answering"|"40-44 years"|"Female"|"2018"|321|
"Waipa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|501|
"Waipa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|678|
"Waipa District"|"No religion"|"40-44 years"|"Male"|"2018"|942|
"Waipa District"|"No religion"|"40-44 years"|"Female"|"2018"|903|
"Waipa District"|"Object to answering"|"40-44 years"|"Male"|"2018"|93|
"Waipa District"|"Object to answering"|"40-44 years"|"Female"|"2018"|117|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|93|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|87|
"Otorohanga District"|"No religion"|"40-44 years"|"Male"|"2018"|198|
"Otorohanga District"|"No religion"|"40-44 years"|"Female"|"2018"|168|
"Otorohanga District"|"Object to answering"|"40-44 years"|"Male"|"2018"|27|
"Otorohanga District"|"Object to answering"|"40-44 years"|"Female"|"2018"|24|
"South Waikato District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|228|
"South Waikato District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|261|
"South Waikato District"|"No religion"|"40-44 years"|"Male"|"2018"|354|
"South Waikato District"|"No religion"|"40-44 years"|"Female"|"2018"|339|
"South Waikato District"|"Object to answering"|"40-44 years"|"Male"|"2018"|57|
"South Waikato District"|"Object to answering"|"40-44 years"|"Female"|"2018"|60|
"Waitomo District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|81|
"Waitomo District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|93|
"Waitomo District"|"No religion"|"40-44 years"|"Male"|"2018"|165|
"Waitomo District"|"No religion"|"40-44 years"|"Female"|"2018"|138|
"Waitomo District"|"Object to answering"|"40-44 years"|"Male"|"2018"|21|
"Waitomo District"|"Object to answering"|"40-44 years"|"Female"|"2018"|18|
"Taupo District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|375|
"Taupo District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|432|
"Taupo District"|"No religion"|"40-44 years"|"Male"|"2018"|621|
"Taupo District"|"No religion"|"40-44 years"|"Female"|"2018"|615|
"Taupo District"|"Object to answering"|"40-44 years"|"Male"|"2018"|60|
"Taupo District"|"Object to answering"|"40-44 years"|"Female"|"2018"|69|
"Tauranga City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|1416|
"Tauranga City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1764|
"Tauranga City"|"No religion"|"40-44 years"|"Male"|"2018"|2421|
"Tauranga City"|"No religion"|"40-44 years"|"Female"|"2018"|2478|
"Tauranga City"|"Object to answering"|"40-44 years"|"Male"|"2018"|228|
"Tauranga City"|"Object to answering"|"40-44 years"|"Female"|"2018"|267|
"Rotorua District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|795|
"Rotorua District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|966|
"Rotorua District"|"No religion"|"40-44 years"|"Male"|"2018"|1152|
"Rotorua District"|"No religion"|"40-44 years"|"Female"|"2018"|1197|
"Rotorua District"|"Object to answering"|"40-44 years"|"Male"|"2018"|135|
"Rotorua District"|"Object to answering"|"40-44 years"|"Female"|"2018"|159|
"Kawerau District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|51|
"Kawerau District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|81|
"Kawerau District"|"No religion"|"40-44 years"|"Male"|"2018"|93|
"Kawerau District"|"No religion"|"40-44 years"|"Female"|"2018"|78|
"Kawerau District"|"Object to answering"|"40-44 years"|"Male"|"2018"|12|
"Kawerau District"|"Object to answering"|"40-44 years"|"Female"|"2018"|18|
"Opotiki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|99|
"Opotiki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|117|
"Opotiki District"|"No religion"|"40-44 years"|"Male"|"2018"|99|
"Opotiki District"|"No religion"|"40-44 years"|"Female"|"2018"|105|
"Opotiki District"|"Object to answering"|"40-44 years"|"Male"|"2018"|15|
"Opotiki District"|"Object to answering"|"40-44 years"|"Female"|"2018"|18|
"Wairoa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|99|
"Wairoa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|138|
"Wairoa District"|"No religion"|"40-44 years"|"Male"|"2018"|81|
"Wairoa District"|"No religion"|"40-44 years"|"Female"|"2018"|63|
"Wairoa District"|"Object to answering"|"40-44 years"|"Male"|"2018"|18|
"Wairoa District"|"Object to answering"|"40-44 years"|"Female"|"2018"|12|
"Hastings District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|993|
"Hastings District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1167|
"Hastings District"|"No religion"|"40-44 years"|"Male"|"2018"|1236|
"Hastings District"|"No religion"|"40-44 years"|"Female"|"2018"|1215|
"Hastings District"|"Object to answering"|"40-44 years"|"Male"|"2018"|129|
"Hastings District"|"Object to answering"|"40-44 years"|"Female"|"2018"|174|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|138|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|162|
"Central Hawke's Bay District"|"No religion"|"40-44 years"|"Male"|"2018"|252|
"Central Hawke's Bay District"|"No religion"|"40-44 years"|"Female"|"2018"|219|
"Central Hawke's Bay District"|"Object to answering"|"40-44 years"|"Male"|"2018"|24|
"Central Hawke's Bay District"|"Object to answering"|"40-44 years"|"Female"|"2018"|18|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|786|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1008|
"New Plymouth District"|"No religion"|"40-44 years"|"Male"|"2018"|1461|
"New Plymouth District"|"No religion"|"40-44 years"|"Female"|"2018"|1497|
"New Plymouth District"|"Object to answering"|"40-44 years"|"Male"|"2018"|171|
"New Plymouth District"|"Object to answering"|"40-44 years"|"Female"|"2018"|189|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|288|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|291|
"South Taranaki District"|"No religion"|"40-44 years"|"Male"|"2018"|441|
"South Taranaki District"|"No religion"|"40-44 years"|"Female"|"2018"|453|
"South Taranaki District"|"Object to answering"|"40-44 years"|"Male"|"2018"|72|
"South Taranaki District"|"Object to answering"|"40-44 years"|"Female"|"2018"|63|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|114|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|135|
"Ruapehu District"|"No religion"|"40-44 years"|"Male"|"2018"|192|
"Ruapehu District"|"No religion"|"40-44 years"|"Female"|"2018"|168|
"Ruapehu District"|"Object to answering"|"40-44 years"|"Male"|"2018"|24|
"Ruapehu District"|"Object to answering"|"40-44 years"|"Female"|"2018"|27|
"Whanganui District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|438|
"Whanganui District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|528|
"Whanganui District"|"No religion"|"40-44 years"|"Male"|"2018"|654|
"Whanganui District"|"No religion"|"40-44 years"|"Female"|"2018"|696|
"Whanganui District"|"Object to answering"|"40-44 years"|"Male"|"2018"|75|
"Whanganui District"|"Object to answering"|"40-44 years"|"Female"|"2018"|99|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|150|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|135|
"Rangitikei District"|"No religion"|"40-44 years"|"Male"|"2018"|201|
"Rangitikei District"|"No religion"|"40-44 years"|"Female"|"2018"|192|
"Rangitikei District"|"Object to answering"|"40-44 years"|"Male"|"2018"|27|
"Rangitikei District"|"Object to answering"|"40-44 years"|"Female"|"2018"|36|
"Manawatu District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|291|
"Manawatu District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|342|
"Manawatu District"|"No religion"|"40-44 years"|"Male"|"2018"|552|
"Manawatu District"|"No religion"|"40-44 years"|"Female"|"2018"|531|
"Manawatu District"|"Object to answering"|"40-44 years"|"Male"|"2018"|54|
"Manawatu District"|"Object to answering"|"40-44 years"|"Female"|"2018"|63|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|936|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1089|
"Palmerston North City"|"No religion"|"40-44 years"|"Male"|"2018"|1251|
"Palmerston North City"|"No religion"|"40-44 years"|"Female"|"2018"|1287|
"Palmerston North City"|"Object to answering"|"40-44 years"|"Male"|"2018"|147|
"Palmerston North City"|"Object to answering"|"40-44 years"|"Female"|"2018"|162|
"Tararua District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|174|
"Tararua District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|204|
"Tararua District"|"No religion"|"40-44 years"|"Male"|"2018"|261|
"Tararua District"|"No religion"|"40-44 years"|"Female"|"2018"|258|
"Tararua District"|"Object to answering"|"40-44 years"|"Male"|"2018"|45|
"Tararua District"|"Object to answering"|"40-44 years"|"Female"|"2018"|42|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|432|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|564|
"Kapiti Coast District"|"No religion"|"40-44 years"|"Male"|"2018"|891|
"Kapiti Coast District"|"No religion"|"40-44 years"|"Female"|"2018"|960|
"Kapiti Coast District"|"Object to answering"|"40-44 years"|"Male"|"2018"|96|
"Kapiti Coast District"|"Object to answering"|"40-44 years"|"Female"|"2018"|105|
"Porirua City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|837|
"Porirua City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1002|
"Porirua City"|"No religion"|"40-44 years"|"Male"|"2018"|879|
"Porirua City"|"No religion"|"40-44 years"|"Female"|"2018"|924|
"Porirua City"|"Object to answering"|"40-44 years"|"Male"|"2018"|117|
"Porirua City"|"Object to answering"|"40-44 years"|"Female"|"2018"|123|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|1416|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1710|
"Lower Hutt City"|"No religion"|"40-44 years"|"Male"|"2018"|1731|
"Lower Hutt City"|"No religion"|"40-44 years"|"Female"|"2018"|1677|
"Lower Hutt City"|"Object to answering"|"40-44 years"|"Male"|"2018"|171|
"Lower Hutt City"|"Object to answering"|"40-44 years"|"Female"|"2018"|180|
"Wellington City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|2574|
"Wellington City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|3039|
"Wellington City"|"No religion"|"40-44 years"|"Male"|"2018"|3948|
"Wellington City"|"No religion"|"40-44 years"|"Female"|"2018"|3807|
"Wellington City"|"Object to answering"|"40-44 years"|"Male"|"2018"|339|
"Wellington City"|"Object to answering"|"40-44 years"|"Female"|"2018"|309|
"Carterton District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|66|
"Carterton District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|108|
"Carterton District"|"No religion"|"40-44 years"|"Male"|"2018"|165|
"Carterton District"|"No religion"|"40-44 years"|"Female"|"2018"|180|
"Carterton District"|"Object to answering"|"40-44 years"|"Male"|"2018"|18|
"Carterton District"|"Object to answering"|"40-44 years"|"Female"|"2018"|21|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|84|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|123|
"South Wairarapa District"|"No religion"|"40-44 years"|"Male"|"2018"|225|
"South Wairarapa District"|"No religion"|"40-44 years"|"Female"|"2018"|210|
"South Wairarapa District"|"Object to answering"|"40-44 years"|"Male"|"2018"|12|
"South Wairarapa District"|"Object to answering"|"40-44 years"|"Female"|"2018"|21|
"Nelson City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|447|
"Nelson City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|510|
"Nelson City"|"No religion"|"40-44 years"|"Male"|"2018"|975|
"Nelson City"|"No religion"|"40-44 years"|"Female"|"2018"|984|
"Nelson City"|"Object to answering"|"40-44 years"|"Male"|"2018"|84|
"Nelson City"|"Object to answering"|"40-44 years"|"Female"|"2018"|135|
"Marlborough District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|435|
"Marlborough District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|477|
"Marlborough District"|"No religion"|"40-44 years"|"Male"|"2018"|882|
"Marlborough District"|"No religion"|"40-44 years"|"Female"|"2018"|846|
"Marlborough District"|"Object to answering"|"40-44 years"|"Male"|"2018"|93|
"Marlborough District"|"Object to answering"|"40-44 years"|"Female"|"2018"|84|
"Buller District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|54|
"Buller District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|63|
"Buller District"|"No religion"|"40-44 years"|"Male"|"2018"|198|
"Buller District"|"No religion"|"40-44 years"|"Female"|"2018"|165|
"Buller District"|"Object to answering"|"40-44 years"|"Male"|"2018"|12|
"Buller District"|"Object to answering"|"40-44 years"|"Female"|"2018"|18|
"Grey District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|102|
"Grey District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|144|
"Grey District"|"No religion"|"40-44 years"|"Male"|"2018"|231|
"Grey District"|"No religion"|"40-44 years"|"Female"|"2018"|219|
"Grey District"|"Object to answering"|"40-44 years"|"Male"|"2018"|24|
"Grey District"|"Object to answering"|"40-44 years"|"Female"|"2018"|30|
"Westland District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|78|
"Westland District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|102|
"Westland District"|"No religion"|"40-44 years"|"Male"|"2018"|138|
"Westland District"|"No religion"|"40-44 years"|"Female"|"2018"|141|
"Westland District"|"Object to answering"|"40-44 years"|"Male"|"2018"|12|
"Westland District"|"Object to answering"|"40-44 years"|"Female"|"2018"|15|
"Hurunui District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|132|
"Hurunui District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|156|
"Hurunui District"|"No religion"|"40-44 years"|"Male"|"2018"|222|
"Hurunui District"|"No religion"|"40-44 years"|"Female"|"2018"|192|
"Hurunui District"|"Object to answering"|"40-44 years"|"Male"|"2018"|27|
"Hurunui District"|"Object to answering"|"40-44 years"|"Female"|"2018"|21|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|558|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|696|
"Waimakariri District"|"No religion"|"40-44 years"|"Male"|"2018"|1140|
"Waimakariri District"|"No religion"|"40-44 years"|"Female"|"2018"|1143|
"Waimakariri District"|"Object to answering"|"40-44 years"|"Male"|"2018"|96|
"Waimakariri District"|"Object to answering"|"40-44 years"|"Female"|"2018"|120|
"Christchurch City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|4650|
"Christchurch City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|4920|
"Christchurch City"|"No religion"|"40-44 years"|"Male"|"2018"|6201|
"Christchurch City"|"No religion"|"40-44 years"|"Female"|"2018"|6132|
"Christchurch City"|"Object to answering"|"40-44 years"|"Male"|"2018"|630|
"Christchurch City"|"Object to answering"|"40-44 years"|"Female"|"2018"|573|
"Selwyn District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|681|
"Selwyn District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|879|
"Selwyn District"|"No religion"|"40-44 years"|"Male"|"2018"|1308|
"Selwyn District"|"No religion"|"40-44 years"|"Female"|"2018"|1314|
"Selwyn District"|"Object to answering"|"40-44 years"|"Male"|"2018"|138|
"Selwyn District"|"Object to answering"|"40-44 years"|"Female"|"2018"|117|
"Timaru District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|423|
"Timaru District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|582|
"Timaru District"|"No religion"|"40-44 years"|"Male"|"2018"|744|
"Timaru District"|"No religion"|"40-44 years"|"Female"|"2018"|696|
"Timaru District"|"Object to answering"|"40-44 years"|"Male"|"2018"|87|
"Timaru District"|"Object to answering"|"40-44 years"|"Female"|"2018"|93|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|48|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|51|
"Mackenzie District"|"No religion"|"40-44 years"|"Male"|"2018"|84|
"Mackenzie District"|"No religion"|"40-44 years"|"Female"|"2018"|81|
"Mackenzie District"|"Object to answering"|"40-44 years"|"Male"|"2018"|9|
"Mackenzie District"|"Object to answering"|"40-44 years"|"Female"|"2018"|15|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|6|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"||c
"Chatham Islands Territory"|"No religion"|"40-44 years"|"Male"|"2018"|9|
"Chatham Islands Territory"|"No religion"|"40-44 years"|"Female"|"2018"|12|
"Chatham Islands Territory"|"Object to answering"|"40-44 years"|"Male"|"2018"||c
"Chatham Islands Territory"|"Object to answering"|"40-44 years"|"Female"|"2018"||c
"Waitaki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|222|
"Waitaki District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|237|
"Waitaki District"|"No religion"|"40-44 years"|"Male"|"2018"|375|
"Waitaki District"|"No religion"|"40-44 years"|"Female"|"2018"|384|
"Waitaki District"|"Object to answering"|"40-44 years"|"Male"|"2018"|39|
"Waitaki District"|"Object to answering"|"40-44 years"|"Female"|"2018"|27|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|426|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|462|
"Queenstown-Lakes District"|"No religion"|"40-44 years"|"Male"|"2018"|969|
"Queenstown-Lakes District"|"No religion"|"40-44 years"|"Female"|"2018"|876|
"Queenstown-Lakes District"|"Object to answering"|"40-44 years"|"Male"|"2018"|60|
"Queenstown-Lakes District"|"Object to answering"|"40-44 years"|"Female"|"2018"|60|
"Dunedin City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|1005|
"Dunedin City"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|1272|
"Dunedin City"|"No religion"|"40-44 years"|"Male"|"2018"|2136|
"Dunedin City"|"No religion"|"40-44 years"|"Female"|"2018"|2190|
"Dunedin City"|"Object to answering"|"40-44 years"|"Male"|"2018"|189|
"Dunedin City"|"Object to answering"|"40-44 years"|"Female"|"2018"|216|
"Southland District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|378|
"Southland District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|399|
"Southland District"|"No religion"|"40-44 years"|"Male"|"2018"|597|
"Southland District"|"No religion"|"40-44 years"|"Female"|"2018"|477|
"Southland District"|"Object to answering"|"40-44 years"|"Male"|"2018"|63|
"Southland District"|"Object to answering"|"40-44 years"|"Female"|"2018"|60|
"Gore District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|132|
"Gore District"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|141|
"Gore District"|"No religion"|"40-44 years"|"Male"|"2018"|177|
"Gore District"|"No religion"|"40-44 years"|"Female"|"2018"|192|
"Gore District"|"Object to answering"|"40-44 years"|"Male"|"2018"|18|
"Gore District"|"Object to answering"|"40-44 years"|"Female"|"2018"|21|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"|57510|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"|66567|
"Total - Territorial Authority areas"|"No religion"|"40-44 years"|"Male"|"2018"|75480|
"Total - Territorial Authority areas"|"No religion"|"40-44 years"|"Female"|"2018"|75132|
"Total - Territorial Authority areas"|"Object to answering"|"40-44 years"|"Male"|"2018"|8004|
"Total - Territorial Authority areas"|"Object to answering"|"40-44 years"|"Female"|"2018"|8649|
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"40-44 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"40-44 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"40-44 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"40-44 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"40-44 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"40-44 years"|"Female"|"2018"||c
"Far North District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|828|
"Far North District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1047|
"Far North District"|"No religion"|"45-49 years"|"Male"|"2018"|1059|
"Far North District"|"No religion"|"45-49 years"|"Female"|"2018"|921|
"Far North District"|"Object to answering"|"45-49 years"|"Male"|"2018"|162|
"Far North District"|"Object to answering"|"45-49 years"|"Female"|"2018"|177|
"Kaipara District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|228|
"Kaipara District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|261|
"Kaipara District"|"No religion"|"45-49 years"|"Male"|"2018"|432|
"Kaipara District"|"No religion"|"45-49 years"|"Female"|"2018"|375|
"Kaipara District"|"Object to answering"|"45-49 years"|"Male"|"2018"|45|
"Kaipara District"|"Object to answering"|"45-49 years"|"Female"|"2018"|63|
"Auckland"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|25311|
"Auckland"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|29562|
"Auckland"|"No religion"|"45-49 years"|"Male"|"2018"|23982|
"Auckland"|"No religion"|"45-49 years"|"Female"|"2018"|23328|
"Auckland"|"Object to answering"|"45-49 years"|"Male"|"2018"|3021|
"Auckland"|"Object to answering"|"45-49 years"|"Female"|"2018"|3204|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1368|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1827|
"Hibiscus and Bays Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|2208|
"Hibiscus and Bays Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|2160|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|216|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|252|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|906|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1089|
"Upper Harbour Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1113|
"Upper Harbour Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1173|
"Upper Harbour Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|105|
"Upper Harbour Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|129|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1293|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1470|
"Kaipatiki Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1497|
"Kaipatiki Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1383|
"Kaipatiki Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|147|
"Kaipatiki Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|177|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|786|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1053|
"Devonport-Takapuna Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1131|
"Devonport-Takapuna Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1146|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|99|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|114|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1977|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|2211|
"Henderson-Massey Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1620|
"Henderson-Massey Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1452|
"Henderson-Massey Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|228|
"Henderson-Massey Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|231|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|696|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|828|
